course_credits,course_department,course_exam_from,course_lamguage,course_outcome,course_prerequest_for,course_prof,course_remark,course_score,course_semester,course_skills,course_summary,course_teaching_method,course_title,course_uni_url,course_url,course_weeks
5,Applied Mathematics,Oral,English,"Describe the fundamental concepts about Optimal transport, such as the duality theory and the structure of optimal maps Solve exercises and master meaningful examples Explore and present recent research papers on the topic Identify connections between the optimal transport theory and other mathematical problems (such as in PDEs, functional inequalities)",None,Colombo Maria,None,Oral exam. Exercises presented orally and specific homeworks give a bonus of up to 1.,Spring,,"The first part is devoted to Monge and Kantorovitch problems, discussing the existence and the properties of the optimal plan. The second part introduces the Wasserstein distance on measures and develops applications of optimal transport to PDEs, functional/geometric inequalities, traffic models.",None,Optimal transport,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2393023286&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Characterize wastes Assess / Evaluate waste treatment pathways Estimate flows and quantities of waste and materials Justify the choice of different waste treatment options Perform simple calculations to determine relevant parameters and process efficiencies Take into consideration measures for resources conservation and pollution prevention Transcribe teaching content into a video presentation,None,Ludwig Christian,None,The students will deliver,Fall,"Demonstrate a capacity for creativity. Manage priorities. Respect relevant legal guidelines and ethical codes for the profession. Demonstrate the capacity for critical thinking Identify the different roles that are involved in well-functioning teams and assume different roles, including leadership roles.","The book ""Solid Waste Engineering - A Global Perspective"" is the basis for this course. This textbook is an excellent introduction to the field of Solid Waste Engineering and gives insight into relevant solid waste treatment technologies and practices.","The book ""Solid Waste Engineering"" is the basis for the course content which will be complemented with information from other sources (see ""further literature"" given below).",Solid waste engineering,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046260202&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Characterize wastes Assess / Evaluate waste treatment pathways Estimate flows and quantities of waste and materials Justify the choice of different waste treatment options Perform simple calculations to determine relevant parameters and process efficiencies Take into consideration measures for resources conservation and pollution prevention Transcribe teaching content into a video presentation,None,Ludwig Christian,None,The students will deliver,Fall,"Demonstrate a capacity for creativity. Manage priorities. Respect relevant legal guidelines and ethical codes for the profession. Demonstrate the capacity for critical thinking Identify the different roles that are involved in well-functioning teams and assume different roles, including leadership roles.","The book ""Solid Waste Engineering - A Global Perspective"" is the basis for this course. This textbook is an excellent introduction to the field of Solid Waste Engineering and gives insight into relevant solid waste treatment technologies and practices.","The book ""Solid Waste Engineering"" is the basis for the course content which will be complemented with information from other sources (see ""further literature"" given below).",Solid waste engineering,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046260202&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Characterize wastes Assess / Evaluate waste treatment pathways Estimate flows and quantities of waste and materials Justify the choice of different waste treatment options Perform simple calculations to determine relevant parameters and process efficiencies Take into consideration measures for resources conservation and pollution prevention Transcribe teaching content into a video presentation,None,Ludwig Christian,None,The students will deliver,Fall,"Demonstrate a capacity for creativity. Manage priorities. Respect relevant legal guidelines and ethical codes for the profession. Demonstrate the capacity for critical thinking Identify the different roles that are involved in well-functioning teams and assume different roles, including leadership roles.","The book ""Solid Waste Engineering - A Global Perspective"" is the basis for this course. This textbook is an excellent introduction to the field of Solid Waste Engineering and gives insight into relevant solid waste treatment technologies and practices.","The book ""Solid Waste Engineering"" is the basis for the course content which will be complemented with information from other sources (see ""further literature"" given below).",Solid waste engineering,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046260202&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Oral,English,Choose  an appropriate method Analyze methods Assess / Evaluate computational methods Carry out computational experiments Carry out mathematical analysis Construct computational methods Prove basic mathematical properties,None,"Hesthaven Jan S., Ray Deep",None,There will be 3 required small reports to be handed in during the class. These will be examined as part of the final oral examination and will count for 50% of the overall grade.,Fall,"Assess progress against the plan, and adapt the plan as appropriate. Set objectives and design an action plan to reach those objectives. Continue to work through difficulties or initial failure to find optimal solutions. Take feedback (critique) and respond in an appropriate manner. Use both general and domain specific IT resources and tools Access and evaluate appropriate sources of information.","Introduction to the development, analysis, and application of computational methods for solving conservation laws with an emphasis on finite volume, limiter based schemes, high-order essentially non-oscillatory schemes, and discontinuous Galerkin methods.",The class will be given as a lecture class with in-class computational experiments to support the analysis.,Numerical methods for conservation laws,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1685197312&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,Identify stiff and Hamiltonian differential equations Analyze geometric and stability properties of differential equations Choose  an appropriate method for the solution of stiff or Hamiltonian differential equations Analyze geometric and stability properties of numerical methods Implement numerical methods for solving stiff or Hamiltonian differential equations,None,Rosilho De Souza Giacomo,None,Written,Fall,,"In this course we will introduce and study numerical integrators for multi-scale (or stiff) differential equations and dynamical systems with special geometric structures (symplecticity, reversibility, first integrals, etc.). These numerical methods are important for many applications.","Ex cathedra lecture, exercises in classroom and with computer",Numerical integration of dynamical systems,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230301204&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,Analyze the convergence and the stability properties of stochastiques numerical methods Implement numerical methods for solving stochastic differential equations Identify and understand the mathematical modeling of stochastic processes Manipulate Ito calculus to be able to perfom computation with stochastic differential equations Choose  an appropriate numerical method to solve stochastic differential equations,None,Blumenthal Adrian,None,Written examination,Spring,,In this course we will introduce and study numerical integrators for stochastic differential equations. These numerical methods are important for many applications.,"Ex cathedra lecture, exercises in classroom",Numerical integration  of stochastic differential equations,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1802558211&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,Analyze the convergence and the stability properties of stochastiques numerical methods Implement numerical methods for solving stochastic differential equations Identify and understand the mathematical modeling of stochastic processes Manipulate Ito calculus to be able to perfom computation with stochastic differential equations Choose  an appropriate numerical method to solve stochastic differential equations,None,Blumenthal Adrian,None,Written examination,Spring,,In this course we will introduce and study numerical integrators for stochastic differential equations. These numerical methods are important for many applications.,"Ex cathedra lecture, exercises in classroom",Numerical integration  of stochastic differential equations,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1802558211&ww_x_anneeacad=1866895046&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en,14
4,Computational science and Engineering,Written,English,"Choose  a numerical method for solving a specific mathematical problem. Interpret the numerical results based on the theory. Apply and implement the numerical algorithms for the solution of mathematical problems. Assess / Evaluate the numerical errors. State , prove, and validate the theoretical properties of the numerical methods. Describe the numerical methods.",None,Vazquez Hernandez Rafael,None,"Written exam, in the computer room. The exam covers all the theoretical and practical arguments considered at the lectures and exercises. Part of the questions and problems are solved numerically with MATLAB; the exam includes the implementation and programming of numerical algorithms in MATLAB.",Fall,Use a work methodology appropriate to the task. Plan and carry out activities in a way which makes optimal use of available time and other resources. Use both general and domain specific IT resources and tools Access and evaluate appropriate sources of information.,The course provides an introduction to scientific computing. Several numerical methods are presented for the computer solution of mathematical problems arising in different applications. The software MATLAB is used to solve the problems and verify the theoretical properties of the numerical methods.,Ex cathedra lectures; theoretical and practical exercises in the computer room.,Numerical analysis and computational mathematics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=354984919&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Computational science and Engineering,Written,English,Identify features of a PDE relevant for the selection and performance of a numerical algorithm. Assess / Evaluate numerical methods in light of the theoretical results. Implement fundamental numerical methods for the solution of PDEs. Choose  an appropriate discretization scheme to solve a specific PDE. Analyze numerical errors and stability properties. Interpret results of a computation in the light of theory. Prove  theoretical properties of discretization schemes. State theoretical properties of PDEs and corresponding discretization schemes.,"Numerical approximation of PDEs II, Numerical methods for conservation laws, Numerical methods for fluids, structures & electromagnetics",Buffa Annalisa,None,100% Written exam. The exam may involve the use of a computer.,Spring,Use a work methodology appropriate to the task. Write a scientific or technical report. Use both general and domain specific IT resources and tools,"The course pertains to the derivation, theoretical analysis and implementation of finite difference and finite element methods for the numerical approximation of partial differential equations in one or more dimensions.","Ex cathedra lectures, exercises in the classroom and computer lab sessions.",Numerical approximation of PDEs,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=129690050&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Computational science and Engineering,Written,English,Identify features of a PDE relevant for the selection and performance of a numerical algorithm. Assess / Evaluate numerical methods in light of the theoretical results. Implement fundamental numerical methods for the solution of PDEs. Choose  an appropriate discretization scheme to solve a specific PDE. Analyze numerical errors and stability properties. Interpret results of a computation in the light of theory. Prove  theoretical properties of discretization schemes. State theoretical properties of PDEs and corresponding discretization schemes.,"Numerical approximation of PDEs II, Numerical methods for conservation laws, Numerical methods for fluids, structures & electromagnetics",Buffa Annalisa,None,100% Written exam. The exam may involve the use of a computer.,Spring,Use a work methodology appropriate to the task. Write a scientific or technical report. Use both general and domain specific IT resources and tools,"The course pertains to the derivation, theoretical analysis and implementation of finite difference and finite element methods for the numerical approximation of partial differential equations in one or more dimensions.","Ex cathedra lectures, exercises in the classroom and computer lab sessions.",Numerical approximation of PDEs,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=129690050&ww_x_anneeacad=1866895046&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en,14
4,Computational science and Engineering,Written,English,"Choose  a numerical method for solving a specific mathematical problem. Interpret the numerical results based on the theory. Apply and implement the numerical algorithms for the solution of mathematical problems. Assess / Evaluate the numerical errors. State , prove, and validate the theoretical properties of the numerical methods. Describe the numerical methods.",None,Vazquez Hernandez Rafael,None,"Written exam, in the computer room. The exam covers all the theoretical and practical arguments considered at the lectures and exercises. Part of the questions and problems are solved numerically with MATLAB; the exam includes the implementation and programming of numerical algorithms in MATLAB.",Fall,Use a work methodology appropriate to the task. Plan and carry out activities in a way which makes optimal use of available time and other resources. Use both general and domain specific IT resources and tools Access and evaluate appropriate sources of information.,The course provides an introduction to scientific computing. Several numerical methods are presented for the computer solution of mathematical problems arising in different applications. The software MATLAB is used to solve the problems and verify the theoretical properties of the numerical methods.,Ex cathedra lectures; theoretical and practical exercises in the computer room.,Numerical analysis and computational mathematics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=354984919&ww_x_anneeacad=1866895046&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Manipulate precise as well as low-cost inertial instruments. Compute initial orientation from a real data. Integrate inertial signals via simulations. Predict orientation performance via covariance propagation. Construct a model for a gyroscope or accelerometer. Develop  dynamic models for a particular scenario. Implement Kalman Filter.,None,Skaloud Jan,None,"Continuous control, 3 tests at the following dates:",Fall,Collect data. Make an oral presentation. Use both general and domain specific IT resources and tools,"Determination of spatial orientation (i.e. position, velocity, attitude) via integration of inertial sensors with satellite positioning. Prerequisite for many applications related to remote sensing, environmental monitoring, mobile mapping, robotics, space exploration, smart-phone navigation, etc.","Ex cathedra, exercises (part. in computer room), demonstrations",Sensor orientation,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1499350407&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Manipulate precise as well as low-cost inertial instruments. Compute initial orientation from a real data. Integrate inertial signals via simulations. Predict orientation performance via covariance propagation. Construct a model for a gyroscope or accelerometer. Develop  dynamic models for a particular scenario. Implement Kalman Filter.,None,Skaloud Jan,None,"Continuous control, 3 tests at the following dates:",Fall,Collect data. Make an oral presentation. Use both general and domain specific IT resources and tools,"Determination of spatial orientation (i.e. position, velocity, attitude) via integration of inertial sensors with satellite positioning. Prerequisite for many applications related to remote sensing, environmental monitoring, mobile mapping, robotics, space exploration, smart-phone navigation, etc.","Ex cathedra, exercises (part. in computer room), demonstrations",Sensor orientation,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1499350407&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Manipulate precise as well as low-cost inertial instruments. Compute initial orientation from a real data. Integrate inertial signals via simulations. Predict orientation performance via covariance propagation. Construct a model for a gyroscope or accelerometer. Develop  dynamic models for a particular scenario. Implement Kalman Filter.,None,Skaloud Jan,None,"Continuous control, 3 tests at the following dates:",Fall,Collect data. Make an oral presentation. Use both general and domain specific IT resources and tools,"Determination of spatial orientation (i.e. position, velocity, attitude) via integration of inertial sensors with satellite positioning. Prerequisite for many applications related to remote sensing, environmental monitoring, mobile mapping, robotics, space exploration, smart-phone navigation, etc.","Ex cathedra, exercises (part. in computer room), demonstrations",Sensor orientation,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1499350407&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,,None,Serban Vlad,None,"Weekly problem sets focusing on number-theoretic and complexity-theoretic aspects. These will be complemented by programming exercises in SAGE which is a Python-based computer algebra system. No prior experience with SAGE or Python is required. A subset of the homework will be handed in and graded, counting for 40% of the final grade.",Spring,,The goal of the course is to introduce basic notions from public key cryptography (PKC) as well as basic number-theoretic methods and algorithms for cryptanalysis of protocols and schemes based on PKC.,"lectures, exercises, additional references",Number theory in cryptography,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1914319698&ww_x_anneeacad=1866895046&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,14
2,Energy Management and Sustainability,Written,English,"Interpret Assemble Classify Analyze Define Recognize the effects of inappropriate water, sanitation and solid waste on public and environmental health. Define the components of the sanitation service chain. Discuss challenges related to water, sanitation and solid waste managment in developing countries. Analyze  water, sanitation, and solid waste considerations in a real-life example. Select appropriately technical options for water and sanitation.",None,Marks Sara Jane,None,100 % written test (120 min) during the exam session,Fall,Plan and carry out activities in a way which makes optimal use of available time and other resources.,"This MSc course deals with the water, sanitation and solid waste challenges in developing countries. You will learn about the current dialogue in these topics, identify key players, know existing options of water & sanitation technologies, and be able to design and evaluate a technical project.","Reading, videos, exercises, teamwork, guest lecturers",Sanitary engineering in developing countries,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231672762&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
2,Energy Management and Sustainability,Written,English,"Interpret Assemble Classify Analyze Define Recognize the effects of inappropriate water, sanitation and solid waste on public and environmental health. Define the components of the sanitation service chain. Discuss challenges related to water, sanitation and solid waste managment in developing countries. Analyze  water, sanitation, and solid waste considerations in a real-life example. Select appropriately technical options for water and sanitation.",None,Marks Sara Jane,None,100 % written test (120 min) during the exam session,Fall,Plan and carry out activities in a way which makes optimal use of available time and other resources.,"This MSc course deals with the water, sanitation and solid waste challenges in developing countries. You will learn about the current dialogue in these topics, identify key players, know existing options of water & sanitation technologies, and be able to design and evaluate a technical project.","Reading, videos, exercises, teamwork, guest lecturers",Sanitary engineering in developing countries,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231672762&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
2,Energy Management and Sustainability,Written,English,"Interpret Assemble Classify Analyze Define Recognize the effects of inappropriate water, sanitation and solid waste on public and environmental health. Define the components of the sanitation service chain. Discuss challenges related to water, sanitation and solid waste managment in developing countries. Analyze  water, sanitation, and solid waste considerations in a real-life example. Select appropriately technical options for water and sanitation.",None,Marks Sara Jane,None,100 % written test (120 min) during the exam session,Fall,Plan and carry out activities in a way which makes optimal use of available time and other resources.,"This MSc course deals with the water, sanitation and solid waste challenges in developing countries. You will learn about the current dialogue in these topics, identify key players, know existing options of water & sanitation technologies, and be able to design and evaluate a technical project.","Reading, videos, exercises, teamwork, guest lecturers",Sanitary engineering in developing countries,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231672762&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Civil and Environmental Engineering ,Oral,English,Select appropriately methods for data analysis knowing the basic principles of calculation in the field of  their application Construct a plan for data analysis Interpret properly the results given by the different methods Apply the methods with exercices and a personal project Work out / Determine means for combining data from two or more independant data sets describing the same objects and test the relationship,Master project,"Buttler Alexandre, Quezada Rivera Juan Carlos",None,50 % project report during the semester,Fall,,Introduction to multivariate data analysis and modelling. The course helps for a critical choice of methods and their integration in a research planning. It prepares for complexe data analysis in various fields of environemental sciences. Use of dedicated R libraries,"Lecture and exercises on computer, personel project for applying methods.",Multivariate statistics with R in environment,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2210110887&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Develop  a material and energy flow analysis for a relevant resource problem Justify and critically reflect on system analysis Derive policy implications for production and consumption processes based on their results Assess / Evaluate and understand the modeling results of other students Apply a software package for system modeling,None,"Binder Claudia R., Hecher Maria Anna, Moreau Vincent",None,Student will be evaluated in two ways:,Fall,Access and evaluate appropriate sources of information. Use both general and domain specific IT resources and tools Use a work methodology appropriate to the task. Give feedback (critique) in an appropriate fashion. Demonstrate the capacity for critical thinking Demonstrate a capacity for creativity. Write a scientific or technical report. Collect data.,"This course provides the bases to understand material and energy production and consumption processes. Students learn how to develop a material flow analysis and apply it to cases of resource management. They analyze the implications of their models on resource use, economic activities and policy.",Interactive lectures and exercises with a graded group project,Material and energy flow analysis,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046259095&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Develop  a material and energy flow analysis for a relevant resource problem Justify and critically reflect on system analysis Derive policy implications for production and consumption processes based on their results Assess / Evaluate and understand the modeling results of other students Apply a software package for system modeling,None,"Binder Claudia R., Hecher Maria Anna, Moreau Vincent",None,Student will be evaluated in two ways:,Fall,Access and evaluate appropriate sources of information. Use both general and domain specific IT resources and tools Use a work methodology appropriate to the task. Give feedback (critique) in an appropriate fashion. Demonstrate the capacity for critical thinking Demonstrate a capacity for creativity. Write a scientific or technical report. Collect data.,"This course provides the bases to understand material and energy production and consumption processes. Students learn how to develop a material flow analysis and apply it to cases of resource management. They analyze the implications of their models on resource use, economic activities and policy.",Interactive lectures and exercises with a graded group project,Material and energy flow analysis,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046259095&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,During the semester,English,Develop  a material and energy flow analysis for a relevant resource problem Justify and critically reflect on system analysis Derive policy implications for production and consumption processes based on their results Assess / Evaluate and understand the modeling results of other students Apply a software package for system modeling,None,"Binder Claudia R., Hecher Maria Anna, Moreau Vincent",None,Student will be evaluated in two ways:,Fall,Access and evaluate appropriate sources of information. Use both general and domain specific IT resources and tools Use a work methodology appropriate to the task. Give feedback (critique) in an appropriate fashion. Demonstrate the capacity for critical thinking Demonstrate a capacity for creativity. Write a scientific or technical report. Collect data.,"This course provides the bases to understand material and energy production and consumption processes. Students learn how to develop a material flow analysis and apply it to cases of resource management. They analyze the implications of their models on resource use, economic activities and policy.",Interactive lectures and exercises with a graded group project,Material and energy flow analysis,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046259095&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
3,Civil and Environmental Engineering ,During the semester,English,Describe remote sensing systems Describe applications of remote sensing Select appropriately the relevant system for a given application Perform image classification Perform information extraction Implement a processing chain to solve a real problem,None,de Morsier Frank Grégoire Jean,None,,Fall,"Use a work methodology appropriate to the task. Continue to work through difficulties or initial failure to find optimal solutions. Access and evaluate appropriate sources of information. Collect data. Make an oral presentation. Write a scientific or technical report. Assess progress against the plan, and adapt the plan as appropriate. Use both general and domain specific IT resources and tools","This course covers optical remote sensing from satellites and airborne platforms. The different systems are presented. The students will acquire skills in image processing and machine learning to extract end-products, such as land cover or risk maps, from the images.",Lessons ex-cathédra (2/3),Image processing for Earth observation,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2210111132&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
5,Environmental Sciences and Engineering,Oral,English,"Quantify primary production, system net production and net sedimentation based on nutrient inputs Structure models of lake-internal matter fluxes Predict vertical structures of water quality parameters, such as oxygen, nutrients, particles, turbidity Estimate sediment-to-water and air-water (and vice versa) dissolved substances and heat fluxes.",None,Wüest Alfred Johny,None,Feedback on the problem solving each week by the assistants.,Spring,,"Focus is on lakes, rivers and reservoirs as aquatic systems. Specific is the quantitative analyse (incl. exercises) of physical, biogeochemical and sedimentological processes / interactions. The goal is to understand the relevant processes (focus on water quality) from an engineering perspective.",2 hrs per week of instructions (basic knowledge and concepts) and 2 hrs per week of problem solving. Problem solving will be based on real data and practical questions. The goal is to learn the real lake- and reservoir-processes by addressing concrete quantitative questions which can be generalized. Motivation is given by scientific as well as practical engineering problems.,Limnology,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1680357128&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
3,Energy ,Written,English,,None,"Maréchal François, Margni Manuele Domenico",None,None,Fall,,"This course will introduce students to the Life Cycle Assessment (LCA) as a holistic approach to evaluate, among others, energy conversion technologies throughout their entire value chain, and across multiple environmental problems beyond climate change.",None,Life cycle assessment in energy systems,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2505033394&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
5,Energy Management and Sustainability,Oral,English,Describe various methods for spatial measurement of the environment Detect terrain movements within a project Design a monitoring scheme for natural hazards Design a monitoring scheme for natural hazards and construction sites,"Advanced Satellite Positioning, Sensor Orientation","Gervaix François, Merminod Bertrand",None,50% continuous control during the semester (exercises and projects),Fall,Summarize an article or a technical report. Make an oral presentation. Use both general and domain specific IT resources and tools Set objectives and design an action plan to reach those objectives.,"The students learn several techniques for spatial mesurements, such as geodesy, aerial photogrammetry and laser scanning. They will be able to collaborate with geologists and civil engineers to master natural risks (landslides, avalanches) and to maintain infrastructures.",Lectures,Geomonitoring,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348634646&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
5,Energy Management and Sustainability,Oral,English,Describe various methods for spatial measurement of the environment Detect terrain movements within a project Design a monitoring scheme for natural hazards Design a monitoring scheme for natural hazards and construction sites,"Advanced Satellite Positioning, Sensor Orientation","Gervaix François, Merminod Bertrand",None,50% continuous control during the semester (exercises and projects),Fall,Summarize an article or a technical report. Make an oral presentation. Use both general and domain specific IT resources and tools Set objectives and design an action plan to reach those objectives.,"The students learn several techniques for spatial mesurements, such as geodesy, aerial photogrammetry and laser scanning. They will be able to collaborate with geologists and civil engineers to master natural risks (landslides, avalanches) and to maintain infrastructures.",Lectures,Geomonitoring,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348634646&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
4,Environmental Sciences and Engineering,Written,English,Report on their project on fluvial biogeosciences Assess / Evaluate critical environmental issues related to stream ecosystems Theorize basic concepts in fluvial biogeosciences Assess / Evaluate benthic life Assess / Evaluate ecological restoration strategies Generalize theory in fluvial biogeosciences Carry out simple experiments in fluvial biogeosciences,None,"Battin Tom Ian, Gómez Gener Luis, Peter Hannes Markus",None,written exam (80%),Fall,,"Stream and river ecosystems are increasingly deteriorated owing to global change and climate change. Students will understand basic physical, chemical and biological processes in streams and rivers, and how they relate to ecosystem health and integrity .","power point, black board, hand-on in the lab and in the field, computer exercises",Fluvial biogeosciences,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1889234532&ww_x_anneeacad=1866895046&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,14
4,Digital Humanities,Oral,English,Investigate the variation of attributes according to the change of the location of a set of spatial units Elaborate a research project based on the characteristics of a georeferenced data set available Formulate hypotheses to be validated in the context of a research project Report on the main results obtained in the context of a research project Interpret the main results obtained based on the spatial distribution of the objects under investigation Structure ideas and arguments in the context of the writing of short scientific papers Produce adequate geospatial data sets for the processing of spatial statistics and association models,None,"Guessous Idris, Joost Stéphane",None,Continuous control during the semester:,Fall,"Set objectives and design an action plan to reach those objectives. Use a work methodology appropriate to the task. Identify the different roles that are involved in well-functioning teams and assume different roles, including leadership roles. Take feedback (critique) and respond in an appropriate manner. Make an oral presentation. Write a scientific or technical report. Summarize an article or a technical report. Negotiate effectively within the group.","This course teaches how to apply exploratory spatial data analysis to health data. Teaching focuses on the basics of spatial statistics and of epidemiology, and proposes a context to analyse geodatasets making it possible to study the relationship between health and the environment.",None,Exploratory data analysis in environmental health,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2699320364&ww_x_anneeacad=1866895046&ww_i_section=2054839157&ww_i_niveau=6683147&ww_c_langue=en,14
